Station;Longitude;Latitude
Josbaig;-0.7114511;43.2642616
Le-Hourcq;-0.8319626;43.4041189
Bager;-0.5928854942321777;43.124847412109375
Gabas;-0.4300679862499237;42.88468551635742
Artouste;-0.3956568;42.8977674
Laveyron;4.8144436;45.2023158
Ibos;-0.4175;42.9989
Gedre-Bas;0.01888;42.78716
Papillon;1.2877;43.2269
Peguere;1.3892696;42.9183829
